Uniprot_A	Uniprot_B	Gene_A	Gene_B	ORF_A	ORF_B	Alias_A	Alias_B	pmid:method:quality
A0A385XK32	P33643	YZFA	RLUD					16606699:0096:HT
A0A4C3GMC1	P0A823	GSPJ	SFSA	BVCMS2454_02423				16606699:0096:HT
O32528	P0A6M8	YPDI	FUSA					15690043:0096:HT|15690043:0676:HT
O52124	Q47184	CESAB	ESPA	A6581_10125|AJ318_19865|ARC77_15130|BON63_23780|BTQ04_29705|BWP17_19395|C9E67_00525|CRE06_16960|D4011_10680|D4074_11580|D4660_12095|D4L91_09020|D4M06_08840|D4U85_12560|D5I97_17570|D6C36_11725|D6D43_12955|D7K33_27505|D7K63_14625|D7K66_11260|D8Y65_16835|D9L89_14655|D9X77_10975|D9X97_26650|DAH23_17650|DL455_13130|DL800_21925|DLT82_06080|DM962_10110|DMI04_10695|DMI53_10985|DMO02_12280|DN703_11255|DNB37_13400|DNJ62_13125|DNK12_11830|DNR35_14730|DOE35_10180|DOS18_10760|DOT81_11850|DOU81_09270|DOY22_28570|DOY56_11230|DQG35_14440|DRP48_12190|DS721_09295|L537_062|LDEC_054|LIHIT_058|UN91_09460	AJ318_19715|NCTC10089_00097			18178741:0004:LC|18178741:0096:LC
P00350	P00393	GND	NDH					19402753:0676:HT
P00350	P02918	GND	MRCA					19402753:0676:HT
P00350	P09832	GND	GLTD					19402753:0676:HT
P00350	P0ABU7	GND	EXBB					19402753:0676:HT
P00350	P0AEI4	GND	RIMO					19402753:0676:HT
P00350	P18843	GND	NADE					16606699:0096:HT
P00350	P25526	GND	GABD					19402753:0676:HT
P00350	P33195	GND	GCVP					19402753:0676:HT
P00350	P37751	GND	WBBK					16606699:0096:HT
P00350	P37902	GND	GLTI					19402753:0676:HT
P00350	P39274	GND	YJDJ					19402753:0676:HT
P00350	P75914	GND	YCDX					16606699:0096:HT
P00363	P00363	FRDA	FRDA					15690043:0007:HT|15690043:0676:HT
P00363	P0A9L8	FRDA	PROC					19402753:0676:HT
P00363	P0CF91	FRDA	INSL1					15690043:0676:HT
P00363	P16916	FRDA	RHSA					16606699:0096:HT
P00363	P23886	FRDA	CYDC					16606699:0096:HT
P00363	P31473	FRDA	RAVA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00363	P39385	FRDA	YJIN					16606699:0096:HT
P00363	P68767	FRDA	PEPA					16606699:0096:HT
P00363	P76111	FRDA	YDCZ					15690043:0096:HT|15690043:0676:HT
P00370	P77169	GDHA	YAGJ					16606699:0096:HT
P00393	P06282	NDH	CDH					16606699:0096:HT
P00393	P0A6B4	NDH	ALR					16606699:0096:HT
P00393	P0A7V3	NDH	RPSC					16606699:0096:HT
P00393	P0A7X3	NDH	RPSI					16606699:0096:HT
P00393	P0ADQ7	NDH	YGAM					19402753:0676:HT
P00393	P0AFP6	NDH	YBGI					19402753:0676:HT
P00393	P11454	NDH	ENTF					16606699:0096:HT
P00393	P60422	NDH	RPLB					16606699:0096:HT
P00393	P67910	NDH	HLDD					16606699:0096:HT
P00393	P76773	NDH	OMPL					16606699:0096:HT
P00448	P0A6B4	SODA	ALR					16606699:0096:HT
P00448	P0A996	SODA	GLPC					16606699:0096:HT
P00448	P23839	SODA	YICC					16606699:0096:HT
P00448	P25888	SODA	RHLE					16606699:0096:HT
P00448	P37326	SODA	INTS					16606699:0096:HT
P00448	P76459	SODA	ATOA					16606699:0096:HT
P00452	P00452	NRDA	NRDA					15690043:0676:HT|15690043:0007:HT
P00452	P07004	NRDA	PROA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00452	P0A8A2	NRDA	YEEN					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00452	P0A9X4	NRDA	MREB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00452	P0CE47	NRDA	TUFA					15690043:0096:HT|15690043:0676:HT
P00452	P0CE48	NRDA	TUFB					15690043:0676:HT
P00452	P33363	NRDA	BGLX					16606699:0096:HT
P00452	P69924	NRDA	NRDB					16606699:0096:HT
P00452	P75793	NRDA	YBIW					16606699:0096:HT
P00452	P76558	NRDA	MAEB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P00490	MALP	MALP					15690043:0007:HT|15690043:0676:HT
P00490	P00582	MALP	POLA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P03018	MALP	UVRD					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P05055	MALP	PNP					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P06612	MALP	TOPA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P06959	MALP	ACEF					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P09030	MALP	XTHA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P0A6C1	MALP	NFO					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P0A7K6	MALP	RPLS					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A7L0	MALP	RPLA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A7R1	MALP	RPLI					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A7Y4	MALP	RNHA					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A832	MALP	SMPB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A8M6	MALP	YEEX					19402753:0676:HT
P00490	P0A8T7	MALP	RPOC					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0A9P0	MALP	LPDA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P0AA10	MALP	RPLM					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0ABU7	MALP	EXBB					19402753:0676:HT
P00490	P0ACF0	MALP	HUPA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P0ACF4	MALP	HUPB					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0ACF8	MALP	HNS					15690043:0096:HT|15690043:0676:HT
P00490	P0AG48	MALP	RPLU					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P0AGK4	MALP	YHBY					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P19705	MALP	HSDS					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P28043	MALP	SSB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P37765	MALP	RLUB					19402753:0676:HT
P00490	P39274	MALP	YJDJ					19402753:0676:HT
P00490	P60438	MALP	RPLC					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P60723	MALP	RPLD					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P61175	MALP	RPLV					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00490	P68739	MALP	NFI					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00490	P76268	MALP	KDGR					19402753:0676:HT
P00490	P76550	MALP	YFFS					19402753:0676:HT
P00509	P0A6D0	ASPC	ARGR					16606699:0096:HT
P00509	P0A850	ASPC	TIG					19402753:0676:HT
P00509	P0AES4	ASPC	GYRA					16606699:0096:HT
P00509	P18843	ASPC	NADE					16606699:0096:HT
P00509	P20605	ASPC	FIC					19402753:0676:HT
P00509	P33599	ASPC	NUOC					19402753:0676:HT
P00509	P37685	ASPC	ALDB					19402753:0676:HT
P00509	P37747	ASPC	GLF					19402753:0676:HT
P00509	P77495	ASPC	PRPE					16606699:0096:HT
P00547	P0A6F5	THRB	GROL					16606699:0096:HT
P00547	P13035	THRB	GLPD					16606699:0096:HT
P00550	P0A6F5	MTLA	GROL					16606699:0096:HT
P00550	P0A6G7	MTLA	CLPP					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00561	P0A6H5	THRA	HSLU					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00561	P0AC53	THRA	ZWF					16606699:0096:HT
P00561	P0ACB0	THRA	DNAB					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00561	P13035	THRA	GLPD					16606699:0096:HT
P00561	P35340	THRA	AHPF					16606699:0096:HT
P00561	P36995	THRA	CSPB					16606699:0096:HT
P00562	P0A9B2	METL	GAPA					19402753:0676:HT
P00562	P33225	METL	TORA					16606699:0096:HT
P00562	P45508	METL	YFAL					16606699:0096:HT
P00562	P76072	METL	STFR					16606699:0096:HT
P00579	P02358	RPOD	RPSF					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P02359	RPOD	RPSG					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00579	P02413	RPOD	RPLO					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00579	P0A705	RPOD	INFB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A7K2	RPOD	RPLL					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A7K6	RPOD	RPLS					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A7L0	RPOD	RPLA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A7M2	RPOD	RPMB					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A7V0	RPOD	RPSB					15690043:0096:HT|16606699:0096:HT|15690043:0676:HT
P00579	P0A7V3	RPOD	RPSC					15690043:0096:HT|15690043:0676:HT
P00579	P0A7V8	RPOD	RPSD					15690043:0096:HT|15690043:0676:HT
P00579	P0A7W1	RPOD	RPSE					15690043:0096:HT|15690043:0676:HT
P00579	P0A7Z4	RPOD	RPOA					15690043:0096:HT|10322021:0004:LC|14962387:0069:LC|16606699:0096:HT|9560209:0004:LC|15690043:0676:HT
P00579	P0A800	RPOD	RPOZ					15690043:0096:HT|14962387:0069:LC|15690043:0676:HT
P00579	P0A8M6	RPOD	YEEX					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0A8T7	RPOD	RPOC					15690043:0096:HT|10322021:0004:LC|14962387:0069:LC|10652354:0004:LC|9813048:0049:LC|10764785:0096:LC|10764785:0047:LC|9813048:0004:LC|9560209:0004:LC|15690043:0676:HT|19903881:0114:LC|16606699:0096:HT|19903881:0096:LC
P00579	P0A8V2	RPOD	RPOB					15690043:0096:HT|14962387:0069:LC|9560209:0004:LC|15690043:0676:HT|16606699:0096:HT
P00579	P0A901	RPOD	BLC					16606699:0096:HT
P00579	P0A9B2	RPOD	GAPA					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0ABD5	RPOD	ACCA					15690043:0096:HT|15690043:0676:HT
P00579	P0ABS5	RPOD	DNAG					16606699:0096:HT
P00579	P0AE60	RPOD	CEDA					15690043:0096:HT|15690043:0676:HT
P00579	P0AFF6	RPOD	NUSA					15690043:0096:HT|15690043:0676:HT
P00579	P0AFK9	RPOD	POTD					16606699:0096:HT
P00579	P0AG30	RPOD	RHO					15690043:0096:HT|16606699:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0AG48	RPOD	RPLU					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0AG67	RPOD	RPSA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P0CE47	RPOD	TUFA					15690043:0096:HT|15690043:0676:HT
P00579	P18843	RPOD	NADE					16606699:0096:HT
P00579	P30958	RPOD	MFD					16606699:0096:HT
P00579	P37095	RPOD	PEPB					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00579	P37639	RPOD	GADX					16606699:0096:HT
P00579	P60422	RPOD	RPLB					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00579	P60723	RPOD	RPLD					15690043:0096:HT|15690043:0676:HT|15690043:0007:HT|16606699:0096:HT|19402753:0676:HT
P00579	P61175	RPOD	RPLV					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00579	P62399	RPOD	RPLE					16606699:0096:HT
P00579	P63228	RPOD	GMHB					16606699:0096:HT
P00579	P76268	RPOD	KDGR					19402753:0676:HT
P00579	P76464	RPOD	YFAS		B2227/B2228			16606699:0096:HT
P00579	P77188	RPOD	ECPB					16606699:0096:HT
P00579	P77247	RPOD	HXPB					16606699:0096:HT
P00582	P00582	POLA	POLA					15690043:0007:HT|15690043:0676:HT
P00582	P06959	POLA	ACEF					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P07012	POLA	PRFB					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P0A6R3	POLA	FIS					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00582	P0A715	POLA	KDSA					19402753:0676:HT
P00582	P0A7K2	POLA	RPLL					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P0A7M2	POLA	RPMB					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P0A7V0	POLA	RPSB					15690043:0096:HT|15690043:0676:HT
P00582	P0A7Z4	POLA	RPOA					15690043:0096:HT|15690043:0676:HT
P00582	P0A817	POLA	METK					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00582	P0A8T7	POLA	RPOC					15690043:0096:HT|15690043:0676:HT
P00582	P0A8V2	POLA	RPOB					15690043:0096:HT|15690043:0676:HT
P00582	P0A9G4	POLA	CUER					16606699:0096:HT
P00582	P0A9K9	POLA	SLYD					15690043:0096:HT|15690043:0676:HT
P00582	P0A9P0	POLA	LPDA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P0A9W3	POLA	ETTA					19402753:0676:HT
P00582	P0AA10	POLA	RPLM					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P0ACF0	POLA	HUPA					15690043:0096:HT|15690043:0676:HT
P00582	P0ACF4	POLA	HUPB					15690043:0096:HT|15690043:0676:HT
P00582	P0ACF8	POLA	HNS					15690043:0096:HT|15690043:0676:HT
P00582	P0ACI0	POLA	ROB					19402753:0676:HT
P00582	P0ADM6	POLA	YIDX					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00582	P0ADM7	POLA	YIDX					15690043:0676:HT
P00582	P0CE47	POLA	TUFA					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00582	P0CE48	POLA	TUFB					19402753:0676:HT|15690043:0676:HT
P00582	P0DMC7	POLA	RCSB					15690043:0096:HT|15690043:0676:HT
P00582	P11880	POLA	MURF					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P19705	POLA	HSDS					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P32176	POLA	FDOG					16606699:0096:HT
P00582	P33666	POLA	YDBA		B1401/B1405			15690043:0676:HT
P00582	P43329	POLA	HRPA					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00582	P60723	POLA	RPLD					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00582	P76072	POLA	STFR					16606699:0096:HT
P00582	P76268	POLA	KDGR					19402753:0676:HT
P00582	P76550	POLA	YFFS					19402753:0676:HT
P00582	P77182	POLA	MNMC					15690043:0096:HT|15690043:0676:HT
P00634	P09546	PHOA	PUTA					19402753:0676:HT
P00634	P0A6Y8	PHOA	DNAK					16606699:0096:HT
P00634	P0A705	PHOA	INFB					15690043:0096:HT|16606699:0096:HT|15690043:0676:HT
P00634	P0A759	PHOA	NAGB					19402753:0676:HT
P00634	P0A944	PHOA	RIMI					19402753:0676:HT
P00634	P0ABG4	PHOA	FTSW					19402753:0676:HT
P00634	P0ABU7	PHOA	EXBB					19402753:0676:HT
P00634	P31133	PHOA	POTF					19402753:0676:HT
P00634	P46923	PHOA	TORZ					19402753:0676:HT
P00804	P0A7T3	LSPA	RPSP					19402753:0676:HT
P00804	P0A9D8	LSPA	DAPD					19402753:0676:HT
P00804	P0A9M2	LSPA	HPT					19402753:0676:HT
P00805	P02918	ANSB	MRCA					19402753:0676:HT
P00805	P0CF88	ANSB	INSI1					16606699:0096:HT
P00805	P37751	ANSB	WBBK					19402753:0676:HT
P00805	P61320	ANSB	LOLB					16606699:0096:HT
P00811	P0A6Y8	AMPC	DNAK					16606699:0096:HT
P00816	P04425	CYNS	GSHB					16606699:0096:HT
P00816	P0A6Y8	CYNS	DNAK					16606699:0096:HT
P00816	P0A717	CYNS	PRS					16606699:0096:HT
P00861	P00861	LYSA	LYSA					15690043:0007:HT|15690043:0676:HT
P00861	P0A6W5	LYSA	GREA					16606699:0096:HT
P00861	P0A850	LYSA	TIG					15690043:0096:HT|15690043:0676:HT
P00861	P0A8N5	LYSA	LYSU					15690043:0096:HT|15690043:0676:HT
P00861	P0ABF8	LYSA	PGSA					16606699:0096:HT
P00861	P0ACL7	LYSA	LLDR					16606699:0096:HT
P00861	P32153	LYSA	FRVX					16606699:0096:HT
P00864	P04968	PPC	ILVA					16606699:0096:HT
P00864	P0A698	PPC	UVRA					16606699:0096:HT
P00864	P0A7M2	PPC	RPMB					19402753:0676:HT
P00864	P32053	PPC	INTA					19402753:0676:HT
P00864	P32674	PPC	PFLD					16606699:0096:HT
P00864	P33195	PPC	GCVP					19402753:0676:HT
P00864	P37330	PPC	GLCB					19402753:0676:HT
P00887	P0ABL5	AROH	NAPC					16606699:0096:HT
P00887	P18843	AROH	NADE					16606699:0096:HT
P00887	P77188	AROH	ECPB					16606699:0096:HT
P00887	P77624	AROH	YAHI					16606699:0096:HT
P00888	P0A6P9	AROF	ENO					16606699:0096:HT
P00893	P05523	ILVI	MUTM					16606699:0096:HT
P00893	P0A7M2	ILVI	RPMB					19402753:0676:HT
P00893	P0A7R1	ILVI	RPLI					19402753:0676:HT
P00893	P0AFI7	ILVI	PDXH					19402753:0676:HT
P00893	P0AG67	ILVI	RPSA					19402753:0676:HT
P00893	P0AG90	ILVI	SECD					16606699:0096:HT
P00893	P14294	ILVI	TOPB					16606699:0096:HT
P00893	P52644	ILVI	HSLJ					19402753:0676:HT
P00894	P0ADM8	ILVH	YIEE					19402753:0676:HT
P00895	P0A6F5	TRPE	GROL					16606699:0096:HT
P00895	P0A6M8	TRPE	FUSA					16606699:0096:HT
P00895	P0A6Y8	TRPE	DNAK					16606699:0096:HT
P00895	P0A6Z3	TRPE	HTPG					16606699:0096:HT
P00895	P0A7V0	TRPE	RPSB					16606699:0096:HT
P00895	P0A7V3	TRPE	RPSC					16606699:0096:HT
P00895	P0A7X3	TRPE	RPSI					16606699:0096:HT
P00895	P0AFD1	TRPE	NUOE					16606699:0096:HT
P00895	P0AFG8	TRPE	ACEE					16606699:0096:HT
P00895	P0AG55	TRPE	RPLF					16606699:0096:HT
P00895	P0AG67	TRPE	RPSA					16606699:0096:HT
P00895	P0CF88	TRPE	INSI1					16606699:0096:HT
P00895	P15067	TRPE	GLGX					16606699:0096:HT
P00895	P18843	TRPE	NADE					16606699:0096:HT
P00895	P22523	TRPE	MUKB					16606699:0096:HT
P00895	P36683	TRPE	ACNB					16606699:0096:HT
P00895	P37325	TRPE	YBCH					16606699:0096:HT
P00895	P60422	TRPE	RPLB					16606699:0096:HT
P00895	P60723	TRPE	RPLD					16606699:0096:HT
P00895	P76773	TRPE	OMPL					16606699:0096:HT
P00895	Q8VNN2	TRPE	LACZ					16606699:0096:HT
P00903	P0A6F5	PABA	GROL					16606699:0096:HT
P00903	P0A6H1	PABA	CLPX					16606699:0096:HT
P00903	P0A996	PABA	GLPC					16606699:0096:HT
P00903	P10371	PABA	HISA					16606699:0096:HT
P00909	P0A6F5	TRPC	GROL					16606699:0096:HT
P00909	P18843	TRPC	NADE					16606699:0096:HT
P00914	P0A6F5	PHRB	GROL					16606699:0096:HT
P00914	P0A7R1	PHRB	RPLI					16606699:0096:HT
P00914	P0A7X3	PHRB	RPSI					16606699:0096:HT
P00914	P0AG44	PHRB	RPLQ					16606699:0096:HT
P00914	P16916	PHRB	RHSA					16606699:0096:HT
P00914	P17993	PHRB	UBIG					16606699:0096:HT
P00914	P22523	PHRB	MUKB					16606699:0096:HT
P00914	P28043	PHRB	SSB					16606699:0096:HT
P00914	P52127	PHRB	YFJL					16606699:0096:HT
P00914	P60422	PHRB	RPLB					16606699:0096:HT
P00914	P68739	PHRB	NFI					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00914	P75876	PHRB	RLMI					19402753:0676:HT
P00926	P18843	DSDA	NADE					16606699:0096:HT
P00926	P37007	DSDA	YAGA					16606699:0096:HT
P00926	P42641	DSDA	OBGE					16606699:0096:HT
P00934	P0A6M8	THRC	FUSA					16606699:0096:HT
P00934	P0A7M2	THRC	RPMB					19402753:0676:HT
P00934	P0ACF8	THRC	HNS					19402753:0676:HT
P00934	P0AET2	THRC	HDEB					19402753:0676:HT
P00934	P31677	THRC	OTSA					19402753:0676:HT
P00934	P38104	THRC	RSPA					19402753:0676:HT
P00935	P18843	METB	NADE					16606699:0096:HT
P00936	P0A9K3	CYAA	YBEZ					16606699:0096:HT
P00936	P0AAQ2	CYAA	YAJD					16606699:0096:HT
P00936	P0AB14	CYAA	YCCJ					16606699:0096:HT
P00936	P0AD61	CYAA	PYKF					16606699:0096:HT
P00936	P10443	CYAA	DNAE					16606699:0096:HT
P00936	P27240	CYAA	RFAY					16606699:0096:HT
P00936	P32176	CYAA	FDOG					16606699:0096:HT
P00936	P42907	CYAA	AGAS					16606699:0096:HT
P00936	P46883	CYAA	TYNA					16606699:0096:HT
P00936	P52613	CYAA	FLIJ					16606699:0096:HT
P00936	P60240	CYAA	RAPA					16606699:0096:HT
P00936	P77564	CYAA	YDHW					16606699:0096:HT
P00936	Q47208	CYAA	FDRA					16606699:0096:HT
P00944	P0CE47	XYLA	TUFA					15690043:0096:HT|19402753:0676:HT
P00944	P0CE48	XYLA	TUFB					15690043:0007:HT|19402753:0676:HT|15690043:0676:HT
P00944	P16690	XYLA	PHNN					16606699:0096:HT
P00944	P30958	XYLA	MFD					16606699:0096:HT
P00944	P36682	XYLA	YACH					16606699:0096:HT
P00944	P39177	XYLA	USPG					16606699:0096:HT
P00944	P39288	XYLA	QUEG					16606699:0096:HT
P00944	P77374	XYLA	YNFE					16606699:0096:HT
P00946	P00946	MANA	MANA					15690043:0007:HT|15690043:0676:HT
P00946	P02918	MANA	MRCA					19402753:0676:HT
P00946	P04805	MANA	GLTX					16606699:0096:HT
P00946	P07024	MANA	USHA					16606699:0096:HT
P00946	P0A717	MANA	PRS					16606699:0096:HT
P00946	P0AAJ8	MANA	HYBA					16606699:0096:HT
P00946	P0AC53	MANA	ZWF					16606699:0096:HT
P00946	P0AF16	MANA	MURJ					16606699:0096:HT
P00946	P12999	MANA	BIOC					16606699:0096:HT
P00946	P18843	MANA	NADE					16606699:0096:HT
P00946	P21517	MANA	MALZ					16606699:0096:HT
P00946	P31119	MANA	AAS					16606699:0096:HT
P00946	P31448	MANA	YIDK					16606699:0096:HT
P00946	P37339	MANA	LHGD					16606699:0096:HT
P00946	P42620	MANA	YQJG					16606699:0096:HT
P00946	P45748	MANA	TSAC					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00946	P60422	MANA	RPLB					16606699:0096:HT
P00946	P75864	MANA	RLML					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00946	P76161	MANA	QUUQ					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00946	P77536	MANA	YKGF					16606699:0096:HT
P00954	P00954	TRPS	TRPS					15690043:0007:HT|15690043:0676:HT
P00954	P0A7B1	TRPS	PPK					16606699:0096:HT
P00954	P0A7V0	TRPS	RPSB					15690043:0096:HT|15690043:0676:HT
P00954	P0A7V8	TRPS	RPSD					16606699:0096:HT
P00954	P0A7W1	TRPS	RPSE					15690043:0096:HT|15690043:0676:HT
P00954	P0AA10	TRPS	RPLM					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00954	P0ACV2	TRPS	LPXP					16606699:0096:HT
P00954	P0AE18	TRPS	MAP					16606699:0096:HT
P00954	P16456	TRPS	SELD					16606699:0096:HT
P00954	P18843	TRPS	NADE					16606699:0096:HT
P00954	P37005	TRPS	LAST					16606699:0096:HT
P00954	P60438	TRPS	RPLC					16606699:0096:HT
P00954	P61175	TRPS	RPLV					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00956	P00956	ILES	ILES					15690043:0007:HT|15690043:0676:HT
P00956	P08622	ILES	DNAJ					16606699:0096:HT
P00956	P0A7B1	ILES	PPK					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00956	P0A8N5	ILES	LYSU					16606699:0096:HT
P00956	P0ACN4	ILES	ALLR					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00956	P0AE18	ILES	MAP					19402753:0676:HT
P00956	P0AEM0	ILES	FKPB					16606699:0096:HT
P00956	P0CE47	ILES	TUFA					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00956	P0CE48	ILES	TUFB					19402753:0676:HT|15690043:0676:HT
P00956	P13035	ILES	GLPD					16606699:0096:HT
P00956	P30850	ILES	RNB					16606699:0096:HT
P00956	P31057	ILES	PANB					16606699:0096:HT
P00956	P32176	ILES	FDOG					16606699:0096:HT
P00956	P36661	ILES	YCCE					16606699:0096:HT
P00957	P00957	ALAS	ALAS					15690043:0676:HT|15690043:0007:HT
P00957	P02918	ALAS	MRCA					16606699:0096:HT
P00957	P04805	ALAS	GLTX					19402753:0676:HT
P00957	P06612	ALAS	TOPA					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00957	P0A6Y8	ALAS	DNAK					15690043:0096:HT|15690043:0676:HT
P00957	P0A7V0	ALAS	RPSB					15690043:0096:HT|15690043:0676:HT
P00957	P0ACR9	ALAS	MPRA					16606699:0096:HT
P00957	P0CE47	ALAS	TUFA					15690043:0096:HT|15690043:0676:HT
P00957	P0CE48	ALAS	TUFB					15690043:0676:HT
P00957	P17169	ALAS	GLMS					15690043:0007:HT|15690043:0096:HT|15690043:0676:HT
P00957	P17994	ALAS	YFAA					16606699:0096:HT
P00957	P23325	ALAS	ARPA					19402753:0676:HT
P00957	P24177	ALAS	ACRD					16606699:0096:HT
P00957	P24205	ALAS	LPXM					16606699:0096:HT
P00957	P27249	ALAS	GLND					16606699:0096:HT
P00957	P37652	ALAS	BCSB					16606699:0096:HT
P00957	P37765	ALAS	RLUB					15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00957	P38104	ALAS	RSPA					16606699:0096:HT
P00957	P45508	ALAS	YFAL					16606699:0096:HT
P00957	P52126	ALAS	YFJK					16606699:0096:HT
P00957	P63284	ALAS	CLPB					16606699:0096:HT
P00957	P76160	ALAS	YDFR					15690043:0096:HT|15690043:0676:HT
P00957	P76464	ALAS	YFAS		B2227/B2228			16606699:0096:HT
P00959	P0AFP6	METG	YBGI					19402753:0676:HT
P00959	P23862	METG	PRIC					16606699:0096:HT
P00959	P28903	METG	NRDD					19402753:0676:HT
P00959	Q57261	METG	TRUD					16606699:0096:HT
P00960	P00960	GLYQ	GLYQ					15690043:0007:HT|15690043:0676:HT
P00960	P08622	GLYQ	DNAJ					15690043:0007:HT|15690043:0096:HT|19402753:0676:HT|15690043:0676:HT
P00960	P09394	GLYQ	GLPQ					16606699:0096:HT
